#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ubqln2	Eps15l1	10090.ENSMUSP00000056888	10090.ENSMUSP00000129739	0	0	0	0	0.046	0.171	0.500	0.184	0.634
Ubqln2	Matr3	10090.ENSMUSP00000056888	10090.ENSMUSP00000125761	0	0	0	0	0.053	0.098	0	0.715	0.735
Uqcrc2	Slc25a5	10090.ENSMUSP00000033176	10090.ENSMUSP00000016463	0	0	0	0	0.440	0.148	0	0.404	0.691
Uqcrc2	Cox11	10090.ENSMUSP00000033176	10090.ENSMUSP00000020851	0.116	0	0	0	0.074	0.135	0	0.540	0.631
Uqcrc2	Ndufa5	10090.ENSMUSP00000033176	10090.ENSMUSP00000023851	0	0	0	0	0.617	0.864	0	0.513	0.972
Uqcrc2	Idh3b	10090.ENSMUSP00000033176	10090.ENSMUSP00000028892	0	0	0	0	0.501	0.069	0	0.254	0.623
Uqcrc2	Ndufab1	10090.ENSMUSP00000033176	10090.ENSMUSP00000033157	0	0	0	0	0.366	0.826	0	0.501	0.940
Uqcrc2	Tcp1	10090.ENSMUSP00000033176	10090.ENSMUSP00000116108	0	0	0	0	0.288	0.091	0	0.175	0.419
Uqcrc2	Tomm70a	10090.ENSMUSP00000033176	10090.ENSMUSP00000129186	0	0	0	0	0.158	0	0	0.419	0.490
Uqcrc2	Cox6b1	10090.ENSMUSP00000033176	10090.ENSMUSP00000075150	0	0	0	0	0.557	0.956	0.720	0.557	0.997
Vcpip1	Plaa	10090.ENSMUSP00000051248	10090.ENSMUSP00000102724	0	0	0	0	0.175	0.328	0	0.412	0.645
